"channel","frequency"
338,859.4625
339,859.4875
340,859.5125
341,859.5375
342,859.5625
343,859.5875
344,859.6125
345,859.6375
346,859.6625
347,859.6875
348,859.7125
349,859.7375
350,859.7625
351,859.7875
352,859.8125
353,859.8375
354,859.8625
355,859.8875
356,859.9125
357,859.9375
358,859.9625
359,859.9875
360,860.0125
361,860.0375
362,860.0625
363,860.0875
364,860.1125
365,860.1375
366,860.1625
367,860.1875
368,860.2125
369,860.2375
370,860.2625
371,860.2875
372,860.3125
373,860.3375
374,860.3625
375,860.3875
376,860.4125
377,860.4375
378,860.4625
379,860.4875
380,860.5125
381,860.5375
382,860.5625
383,860.5875
384,860.6125
385,860.6375
386,860.6625
387,860.6875
388,860.7125
389,860.7375
390,860.7625
391,860.7875
392,860.8125
393,860.8375
394,860.8625
395,860.8875
396,860.9125
397,860.9375
398,860.9625
399,860.9875
400,861.0125
401,861.0375
402,861.0625
403,861.0875
404,861.1125
405,861.1375
406,861.1625
407,861.1875
408,861.2125
409,861.2375
410,861.2625
411,861.2875
412,861.3125
413,861.3375
414,861.3625
415,861.3875
416,861.4125
417,861.4375
418,861.4625
419,861.4875
420,861.5125
421,861.5375
422,861.5625
423,861.5875
424,861.6125
425,861.6375
426,861.6625
427,861.6875
428,861.7125
429,861.7375
430,861.7625
431,861.7875
432,861.8125
433,861.8375
434,861.8625
435,861.8875
436,861.9125
437,861.9375
438,861.9625
439,861.9875
440,862.0125
441,862.0375
442,862.0625
443,862.0875
444,862.1125
445,862.1375
446,862.1625
447,862.1875
448,862.2125
449,862.2375
450,862.2625
451,862.2875
452,862.3125
453,862.3375
454,862.3625
455,862.3875
456,862.4125
457,862.4375
458,862.4625
459,862.4875
460,862.5125
461,862.5375
462,862.5625
463,862.5875
464,862.6125
465,862.6375
466,862.6625
467,862.6875
468,862.7125
469,862.7375
470,862.7625
471,862.7875
472,862.8125
473,862.8375
474,862.8625
475,862.8875
476,862.9125
477,862.9375
478,862.9625
479,862.9875
480,863.0125
481,863.0375
482,863.0625
483,863.0875
484,863.1125
485,863.1375
486,863.1625
487,863.1875
488,863.2125
489,863.2375
490,863.2625
491,863.2875
492,863.3125
493,863.3375
494,863.3625
495,863.3875
496,863.4125
497,863.4375
498,863.4625
499,863.4875
500,863.5125
501,863.5375
502,863.5625
503,863.5875
504,863.6125
505,863.6375
506,863.6625
507,863.6875
508,863.7125
509,863.7375
510,863.7625
511,863.7875
512,863.8125
513,863.8375
514,863.8625
515,863.8875
516,863.9125
517,863.9375
518,863.9625
519,863.9875
520,864.0125
521,864.0375
522,864.0625
523,864.0875
524,864.1125
525,864.1375
526,864.1625
527,864.1875
528,864.2125
529,864.2375
530,864.2625
531,864.2875
532,864.3125
533,864.3375
534,864.3625
535,864.3875
536,864.4125
537,864.4375
538,864.4625
539,864.4875
540,864.5125
541,864.5375
542,864.5625
543,864.5875
544,864.6125
545,864.6375
546,864.6625
547,864.6875
548,864.7125
549,864.7375
550,864.7625
551,864.7875
552,864.8125
553,864.8375
554,864.8625
555,864.8875
556,864.9125
557,864.9375
558,864.9625
559,864.9875
560,865.0125
561,865.0375
562,865.0625
563,865.0875
564,865.1125
565,865.1375
566,865.1625
567,865.1875
568,865.2125
569,865.2375
570,865.2625
571,865.2875
572,865.3125
573,865.3375
574,865.3625
575,865.3875
576,865.4125
577,865.4375
578,865.4625
579,865.4875
580,865.5125
581,865.5375
582,865.5625
583,865.5875
584,865.6125
585,865.6375
586,865.6625
587,865.6875
588,865.7125
589,865.7375
590,865.7625
591,865.7875
592,865.8125
593,865.8375
594,865.8625
595,865.8875
596,865.9125
597,865.9375
598,865.9625
599,865.9875
600,866.0125
601,866.0375
602,866.0625
603,866.0875
604,866.1125
605,866.1375
606,866.1625
607,866.1875
608,866.2125
609,866.2375
610,866.2625
611,866.2875
612,866.3125
613,866.3375
614,866.3625
615,866.3875
616,866.4125
617,866.4375
618,866.4625
619,866.4875
620,866.5125
621,866.5375
622,866.5625
623,866.5875
624,866.6125
625,866.6375
626,866.6625
627,866.6875
628,866.7125
629,866.7375
630,866.7625
631,866.7875
632,866.8125
633,866.8375
634,866.8625
635,866.8875
636,866.9125
637,866.9375
638,866.9625
639,866.9875
640,867.0125
641,867.0375
642,867.0625
643,867.0875
644,867.1125
645,867.1375
646,867.1625
647,867.1875
648,867.2125
649,867.2375
650,867.2625
651,867.2875
652,867.3125
653,867.3375
654,867.3625
655,867.3875
656,867.4125
657,867.4375
658,867.4625
659,867.4875
660,867.5125
661,867.5375
662,867.5625
663,867.5875
664,867.6125
665,867.6375
666,867.6625
667,867.6875
668,867.7125
669,867.7375
670,867.7625
671,867.7875
672,867.8125
673,867.8375
674,867.8625
675,867.8875
676,867.9125
677,867.9375
678,867.9625
679,867.9875
680,868.0125
681,868.0375
682,868.0625
683,868.0875
684,868.1125
685,868.1375
686,868.1625
687,868.1875
688,868.2125
689,868.2375
690,868.2625
691,868.2875
692,868.3125
693,868.3375
694,868.3625
695,868.3875
696,868.4125
697,868.4375
698,868.4625
699,868.4875
700,868.5125
701,868.5375
702,868.5625
703,868.5875
704,868.6125
705,868.6375
706,868.6625
707,868.6875
708,868.7125
709,868.7375
710,868.7625
711,868.7875
712,868.8125
713,868.8375
714,868.8625
715,868.8875
716,868.9125
717,868.9375
718,868.9625
719,868.9875
720,866
721,866.025
722,866.05
723,866.075
724,866.1
725,866.125
726,866.15
727,866.175
728,866.2
729,866.225
730,866.25
731,866.275
732,866.3
733,866.325
734,866.35
735,866.375
736,866.4
737,866.425
738,866.45
739,866.475
740,866.5
741,866.525
742,866.55
743,866.575
744,866.6
745,866.625
746,866.65
747,866.675
748,866.7
749,866.725
750,866.75
751,866.775
752,866.8
753,866.825
754,866.85
755,866.875
756,866.9
757,866.925
758,866.95
759,866.975
815,867
816,867.025
817,867.05
818,867.075
819,867.1
820,867.125
821,867.15
822,867.175
823,867.2
824,867.225
825,867.25
826,867.275
827,867.3
828,867.325
829,867.35
830,867.375
831,867.4
958,868.975
961,867.425
962,867.45
963,867.475
964,867.5
965,867.525
966,867.55
967,867.575
968,867.6
969,867.625
970,867.65
971,867.675
972,867.7
973,867.725
974,867.75
975,867.775
976,867.8
977,867.825
978,867.85
979,867.875
980,867.9
981,867.925
982,867.95
983,867.975
984,868
985,868.025
986,868.05
987,868.075
988,868.1
989,868.125
990,868.15
991,868.175
992,868.2
993,868.225
994,868.25
995,868.275
996,868.3
997,868.325
998,868.35
999,868.375
1000,868.4
1001,868.425
1002,868.45
1003,868.475
1004,868.5
1005,868.525
1006,868.55
1007,868.575
1008,868.6
1009,868.625
1010,868.65
1011,868.675
1012,868.7
1013,868.725
1014,868.75
1015,868.775
1016,868.8
1017,868.825
1018,868.85
1019,868.875
1020,868.9
1021,868.925
1022,868.95
